[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_check_exit_status: worker#13[pid=1911] abnormal exit, status=0, signal=9
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_check_exit_status: worker#12[pid=1910] abnormal exit, status=0, signal=9
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_check_exit_status: worker#11[pid=1909] abnormal exit, status=0, signal=9
[2019-10-01 19:56:01 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=1937] exit timeout, forced kill
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=1940] exit timeout, forced kill
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=1941] exit timeout, forced kill
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=1946] exit timeout, forced kill
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=1945] exit timeout, forced kill
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=1944] exit timeout, forced kill
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=1942] exit timeout, forced kill
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=1943] exit timeout, forced kill
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_check_exit_status: worker#9[pid=1940] abnormal exit, status=0, signal=9
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_check_exit_status: worker#11[pid=1946] abnormal exit, status=0, signal=9
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_check_exit_status: worker#12[pid=1945] abnormal exit, status=0, signal=9
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_check_exit_status: worker#13[pid=1944] abnormal exit, status=0, signal=9
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=1943] abnormal exit, status=0, signal=9
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=1942] abnormal exit, status=0, signal=9
[2019-10-01 19:56:04 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=1941] abnormal exit, status=0, signal=9
[2019-10-01 19:58:43 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=1963] exit timeout, forced kill
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=1965] exit timeout, forced kill
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=1971] exit timeout, forced kill
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=1966] exit timeout, forced kill
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=1967] exit timeout, forced kill
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=1968] exit timeout, forced kill
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=1970] exit timeout, forced kill
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=1969] exit timeout, forced kill
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_check_exit_status: worker#9[pid=1965] abnormal exit, status=0, signal=9
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=1971] abnormal exit, status=0, signal=9
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=1970] abnormal exit, status=0, signal=9
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=1969] abnormal exit, status=0, signal=9
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_check_exit_status: worker#13[pid=1968] abnormal exit, status=0, signal=9
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_check_exit_status: worker#12[pid=1967] abnormal exit, status=0, signal=9
[2019-10-01 19:58:46 $1828.0]	WARNING	swManager_check_exit_status: worker#11[pid=1966] abnormal exit, status=0, signal=9
[2019-10-01 19:59:18 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=2059] exit timeout, forced kill
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=2064] exit timeout, forced kill
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=2065] exit timeout, forced kill
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=2071] exit timeout, forced kill
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=2070] exit timeout, forced kill
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=2069] exit timeout, forced kill
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=2066] exit timeout, forced kill
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=2067] exit timeout, forced kill
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_check_exit_status: worker#9[pid=2064] abnormal exit, status=0, signal=9
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_check_exit_status: worker#11[pid=2071] abnormal exit, status=0, signal=9
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_check_exit_status: worker#12[pid=2070] abnormal exit, status=0, signal=9
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_check_exit_status: worker#13[pid=2069] abnormal exit, status=0, signal=9
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=2067] abnormal exit, status=0, signal=9
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=2066] abnormal exit, status=0, signal=9
[2019-10-01 19:59:21 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=2065] abnormal exit, status=0, signal=9
